text,author,published_at,like_count
"I give credit that Van came forward to say this, but it is all-telling that he admits that he agreed with Charlie on virtually nothing.",@norrispg4212,2025-10-02T04:47:13Z,0
"Let's disagree agreeably. Talk, conversation, listen, respect their opinions. Both sides. Who knows someone's perception in religion or personal thoughts could change someone mind. I think you and Charlie would have a good conversation and walk away with some new thoughts perhaps even convince one or the other. That's the hope you hopefully will come to my side see it my way but if you don't, see it my way, don't worry we won't assassinate you, unlike others do, we won't even burn your businessdown.",@patriciaschat9662,2025-10-02T03:43:59Z,0
Kirk's messaging was  very hateful and  ugly ..Maybe had he lived he would have  softened....,@leannestout1605,2025-10-01T14:10:52Z,1
"The message was ""Please save me from Trump""",@joeldesrochers980,2025-10-01T12:59:56Z,1
"Oh Van, if you were his Doctor he'd want another Doctor. He was a racist asshole.",@petehjr1,2025-10-01T12:49:37Z,0
"Am I the only one who notices that he calls Charlie Kirk ""Kirk"" and Van Jones ""Van""?",@kevinmaxim,2025-10-01T05:57:58Z,0
"Hope that everybody gets the message. There will always be a way to solve problems—just converse with diplomacy.❤everybody must keep in mind that  every person has a  different views but in the end we can all agree on one thing , Let’s  just give ❤️ LOVE and hate evil things",@FRIENDSKEEPER,2025-10-01T01:49:36Z,0
It’s about time cnn was descent.,@coffeegitters,2025-10-01T01:22:44Z,0
I love van jones he is amazing man!!!!!,@KeithEldridge-u9w,2025-09-30T23:58:27Z,0
Im sorry i would not give Charlie kirk my time. But I do feel bad for his kids.,@c1886,2025-09-30T15:39:10Z,1
Who gives a F🤬qk about either of these 🤡's...,@1stfamilytv1,2025-09-30T02:24:39Z,0
"he said they were enemies, why were they enemies",@Lisa-wl8zz,2025-09-30T02:14:49Z,0
I saved a number of videos of this guy because I know so little about him and he's lying on the first video?? I'm with Megyn Kelly on this. He's a coward but I differ from her in that he's NOT a good man 😡,@padisharcreel451,2025-09-30T02:07:56Z,0
"Truly a shame he was assassinated, but he broke many bible principles , his motive wasn't love  See 1 Cor 13 : all , but too prove people his understanding is superior to theirs , a fact, his motive or saying was ""prove me wrong"" not the way God wants you to go about it .  When you break bible principles they will break you .   Also, you have to watch who you preach to See Matt 7 : 6 [Niv] bible . He was an advocate of the Catholic church I believe not good , you want to come out of the Catholic church  . Another thought , fetus feels pain at 7wks not 24 as the left has taught for like last 6 decades that's why everyone should be against abortion .",@biblebill6206,2025-09-29T22:01:59Z,0
Nazi Democrats,@sirsouthpaw,2025-09-29T21:27:02Z,0
Can jones is a good man .,@deborah5227,2025-09-29T20:31:19Z,0
"I disagree he was trying to have a debate. I think he was trying to advance his platform, by using Van as a stepping stone.",@benmc62,2025-09-29T19:20:45Z,0
Amen Praise the good❤I’m so sorry Charlie ❤❤,@andreacurtis5472,2025-09-29T19:20:30Z,0
What points did you [Van] disagree with Charlie and why? Or were you just placating Anderson and the left?,@861864131,2025-09-29T17:41:05Z,0
"Goofy Drama queen  cowards always looking for evil USA will have to answer to God for their evil ways, now you wonder why Mass Shootings are high all across the usa  More Natural Disasters,  zero peace for the USA just a  deranged crazy deceased animal rooming the world dying slowly",@Xmen6000,2025-09-29T15:47:10Z,0
"But if Van Jones was his pilot, Kirk would say something racist.",@Pen_Wil,2025-09-29T15:42:59Z,0
"This was kind of Van. Its sad that he just does not understand the kind of people ruling this world, nor did Charlie understand. They want us all at each others throats and many are ready to crash out and do it that way. If the powers that be cant brain wash people to crash out and be violent, they will put a chip in people to make them start something. God or some Aliens need to come and stop the human demons from doing all of this.",@jackwolfski,2025-09-29T14:17:51Z,0
"""We need to be able to disagree agreeably, have a nice and civilised dialogue"". 

What a nice way to defend inaction in face of intolerable suffering and abuse, under the guise of ""reasonableness"".

Meanwhile, people die in Gaza with the US's benediction against the entire world. The planet is burning by the endless fire of endless greed. People get all the hate in the world just for being brown or gay or trans etc. and the ones spreading that hate are the ones in power. Divide and conquer, that's all there is to it. A distraction to keep you off the real issues, and to form a front, dancing in their palms, against us. And you're all too blind and brainwashed to see it.

The people we disagree with couldn't give 2 shits about other's suffering, and just won't even try to listen. The only answers we get are lies and denial, ranging from fairly elaborate to painly obvious, just flooding the zone with bullshit.

Dictatorships say ""shut up"", ""democracies"" say ""keep talking"". 
There's effectively no difference. ""Democraties"" are just oligarchies.

There's nothing reasonable in tolerating the intolerable, unreasonable monstruosities that they advocate for.",@brocolive1950,2025-09-29T14:14:54Z,0
Van Jones is not one of us,@M.J.G.79,2025-09-29T13:36:01Z,2
September 10th a day I will always call off work and barbecue,@PE773,2025-09-29T10:58:15Z,0
I think CNN are scum. But this was a beautiful video. Thank you,@InstagramJesusisseekingyou,2025-09-29T07:34:59Z,0
That woman on that train was killed because she is White. The Black guy said I got me a White girl.,@lisajackson152,2025-09-29T06:04:39Z,0
❤❤❤❤❤❤❤❤❤❤,@toscavanson,2025-09-29T05:52:24Z,0
Van jones always trying to have it all ways! Hitler reached out to people too!,@MBrun-b6h,2025-09-29T04:01:35Z,2
3:46 it definitely isn’t Both sides in this craziness. It’s only one side and that’s clear. Van jones has called people racist and facist plenty of times. And was part of the radicalization of democrats since 2012.,@johnquigley1366,2025-09-29T02:14:49Z,0
1:57  Van you were not Charlie’s mortal enemy. I guarantee Charlie loved you.,@johnquigley1366,2025-09-29T02:11:56Z,0
Another zionist mossad operation. Charlie challenged the genocidal zionist control of the US,@riazhus2157,2025-09-28T23:19:38Z,0
I don’t believe van received any message from Charlie. Van openly attacked him in the hours before his death. If Charlie actually emailed/text/called him PRODUCE THE EVIDENCE.,@mcahill135,2025-09-28T21:32:22Z,0
Van Jones better not buy into that message. Just saying,@juanitateall4068,2025-09-28T21:18:49Z,0
You Tube is still shadow banning I see.,@sluggonotnancy6178,2025-09-28T21:16:17Z,1
Thank you for Sharing about 😢 Charlie Kirk 🙏,@RIPWILLIAM-u3h,2025-09-28T19:58:05Z,0
That note in fruition would’ve been wonderful,@ThaliaSanders,2025-09-28T19:16:52Z,0
F××k CNN. The left murder!!!?? Shame on u!,@richardbishop7276,2025-09-28T18:34:57Z,0
"Wow.  Van Jones has sure changed his tune from what it was when he worked for obama.  Both Jones and obama were/are anti White communists, and Van Jones constantly said ""Upside down, downside up, inside out""....that's how we will destroy America""....and the homosexual, Kenyan born obama was noted for saying ""I will fundamentally change America.""  Both of those sayings were about the hatred these men have for America and the entire White race.",@sluggonotnancy6178,2025-09-28T18:32:23Z,0
"Good on you Van. I wonder how many CNN staffers and writers walked out in protest after this aired? When someone who vehemently disagreed with the man has the capability and capacity to see him as a good human what is everyone elses excuse? You going to call Van an Uncle Tom now? You going to continue to crap on people speaking honestly because you disagree. Get Van some security, we know how the cabal treats those who step outside its safe spaces and speak truth.",@handshakeFMG,2025-09-28T18:21:16Z,0
"He spoke of revolution and Republicans jailing all Democrats. Stop with the lies. This is nuts. This man did not deserve to die, no one does. But we also can't reinvent a person in death that's absurd and dangerous",@JP-vs1wx,2025-09-28T18:03:26Z,1
I think Charlie was gonna run for president in 2028.   He would have been the youngest president in history  at 35 and 3 months.,@derekgrey3927,2025-09-28T17:56:46Z,0
"There goes Van Jones...always looking to get pat on the head like a good boy...He's the guy they parade around as the ""black friend""",@rewsplit7,2025-09-28T17:47:53Z,0
This is how the. World should be  not greedy or money grabbing nor power believing in faith and god  is the world 🙏,@KathleenSoriano-c2l,2025-09-28T17:38:00Z,0
"""Words not weapons"" is the only way to save & heal this country.Thank you.",@Joaquinonbasstheelectriklovein,2025-09-28T17:32:33Z,0
You live with this on your conscience that everytime you look at your children growing knowing you are responsible for the death of the father of Kirk 2 children and hope that if you own children are with a conscience how they would have judge you????,@CountryLife1736,2025-09-28T17:26:44Z,0
"LITTLE TOO.LATE FOR CNN TO SAY THESE NOW CNN AND ALL THE COMMENTATORS ON CNN HAVE BEEN ONLY INTERVIEWING AND PUSHING THIS NARRATIVES OF HAVE AGAINST CONSERVATIVES MSNBC,ABC, CBS....  CALL CÓNERVATIVES, MAGA, PRESIDENT TRUMP SUPPORTERS NAZIS, FASCIST....  TOO LATE NOW YOU HAVE CAUSE THE ASSINATION CHARLIE  KIRK WHO PER HIS MOM HAS BEEN MORE AND MORE FOCUS ON NEWS NARRATIVES!!!!!",@CountryLife1736,2025-09-28T17:25:19Z,0
"Van, you are such an intelligent  man that we love because of your integrity, honesty. Thank you for being ""you""",@BobMorris-o7r,2025-09-28T17:24:16Z,0
"Everyone needs a chance and the time to disagree  even with themselves so they can possibly understand the other side, not a death sentence.",@Moshe_st,2025-09-28T17:02:15Z,0
